month,value
1985-01,2.8260
1985-02,1.6983
1985-03,2.3980
1985-04,1.2832
1985-05,2.3766
1985-06,1.7104
1985-07,2.0480
1985-08,1.6765
1985-09,2.9129
1985-10,1.3785
1985-11,2.5136
1985-12,3.0784
1986-01,2.9590
1986-02,2.1814
1986-03,3.0700
1986-04,2.1535
1986-05,1.3884
1986-06,2.4966
1986-07,2.9145
1986-08,2.5112
1986-09,4.3417
1986-10,2.0495
1986-11,2.4417
1986-12,1.6324
1987-01,3.4451
1987-02,2.5891
1987-03,2.6335
1987-04,3.8364
1987-05,3.5411
1987-06,3.3665
1987-07,1.5633
1987-08,1.7745
1987-09,2.9391
1987-10,16.0822
1987-11,15.1418
1987-12,9.7083
1988-01,9.5406
1988-02,7.7771
1988-03,3.2791
1988-04,5.5145
1988-05,7.1176
1988-06,3.3444
1988-07,4.4433
1988-08,5.6655
1988-09,2.8688
1988-10,4.6112
1988-11,4.3617
1988-12,3.4359
1989-01,4.5924
1989-02,4.7321
1989-03,2.4591
1989-04,2.4885
1989-05,2.9552
1989-06,3.4498
1989-07,4.6354
1989-08,2.9016
1989-09,2.1048
1989-10,8.1978
1989-11,3.8662
1989-12,4.4222
1990-01,3.9537
1990-02,6.6924
1990-03,5.4794
1990-04,2.6381
1990-05,2.4368
1990-06,2.6470
1990-07,4.6782
1990-08,3.8565
1990-09,4.8440
1990-10,4.0096
1990-11,3.2077
1990-12,3.5551
1991-01,5.6781
1991-02,5.7166
1991-03,4.4913
1991-04,3.6151
1991-05,3.4464
1991-06,2.9627
1991-07,3.3135
1991-08,4.5161
1991-09,3.0050
1991-10,3.1424
1991-11,5.0054
1991-12,3.8208
1992-01,5.6276
1992-02,4.0685
1992-03,3.4249
1992-04,4.5892
1992-05,2.7128
1992-06,3.7655
1992-07,5.6003
1992-08,2.9863
1992-09,5.0148
1992-10,5.2187
1992-11,2.3602
1992-12,1.7002
1993-01,2.1448
1993-02,2.6828
1993-03,3.1896
1993-04,1.9633
1993-05,2.8702
1993-06,3.7340
1993-07,2.8627
1993-08,3.8667
1993-09,2.5370
1993-10,1.9570
1993-11,2.7878
1993-12,2.0696
1994-01,2.7399
1994-02,5.5707
1994-03,7.3465
1994-04,10.1035
1994-05,6.6324
1994-06,4.3863
1994-07,4.6848
1994-08,5.0021
1994-09,4.9532
1994-10,4.0044
1994-11,5.2828
1994-12,6.3511
1995-01,8.4899
1995-02,9.9245
1995-03,6.0587
1995-04,4.4363
1995-05,2.9231
1995-06,6.2397
1995-07,6.3300
1995-08,3.6137
1995-09,3.4473
1995-10,3.7825
1995-11,4.5343
1995-12,6.8489
1996-01,4.8362
1996-02,4.2054
1996-03,5.6980
1996-04,3.2768
1996-05,3.1177
1996-06,4.4908
1996-07,8.5590
1996-08,4.8820
1996-09,4.3239
1996-10,3.6071
1996-11,3.6044
1996-12,7.0065
1997-01,5.7010
1997-02,4.6645
1997-03,9.1088
1997-04,8.2685
1997-05,5.7651
1997-06,4.8373
1997-07,5.7641
1997-08,6.4582
1997-09,4.6112
1997-10,9.2289
1997-11,8.8843
1997-12,7.1144
1998-01,8.3727
1998-02,4.8105
