month,value
1985-01,0.0807
1985-02,0.0809
1985-03,0.1654
1985-04,0.1426
1985-05,0.1320
1985-06,0.0658
1985-07,0.1638
1985-08,0.1677
1985-09,0.2913
1985-10,0.1253
1985-11,0.2873
1985-12,0.1283
1986-01,0.1973
1986-02,0.0000
1986-03,0.3337
1986-04,0.1958
1986-05,0.2083
1986-06,0.3045
1986-07,0.2186
1986-08,0.3394
1986-09,0.4824
1986-10,0.3202
1986-11,0.5009
1986-12,0.1749
1987-01,0.3564
1987-02,0.6473
1987-03,0.4740
1987-04,1.4315
1987-05,0.4064
1987-06,0.0552
1987-07,0.3234
1987-08,0.0522
1987-09,0.0490
1987-10,2.1955
1987-11,1.9138
1987-12,1.1999
1988-01,0.9870
1988-02,0.8274
1988-03,0.5045
1988-04,0.3860
1988-05,0.4414
1988-06,0.2027
1988-07,0.3603
1988-08,0.5396
1988-09,0.1510
1988-10,0.5699
1988-11,0.3043
1988-12,0.4980
1989-01,0.4920
1989-02,0.1710
1989-03,0.2277
1989-04,0.2304
1989-05,0.4007
1989-06,0.2500
1989-07,0.3125
1989-08,0.2638
1989-09,0.0979
1989-10,0.6634
1989-11,0.3013
1989-12,0.5528
1990-01,0.4340
1990-02,0.3554
1990-03,0.4009
1990-04,0.3484
1990-05,0.3781
1990-06,0.2941
1990-07,0.6200
1990-08,0.7142
1990-09,0.3028
1990-10,0.4112
1990-11,0.3774
1990-12,0.3232
1991-01,0.5209
1991-02,0.1949
1991-03,0.2706
1991-04,0.2191
1991-05,0.5744
1991-06,0.5487
1991-07,0.3999
1991-08,0.3151
1991-09,0.5799
1991-10,0.3606
1991-11,0.8705
1991-12,0.4585
1992-01,0.7172
1992-02,0.7346
1992-03,0.3578
1992-04,0.6937
1992-05,0.3724
1992-06,1.0369
1992-07,1.3381
1992-08,1.1857
1992-09,0.4687
1992-10,0.8862
1992-11,0.5780
1992-12,0.3886
1993-01,0.6209
1993-02,0.5366
1993-03,0.4949
1993-04,0.3818
1993-05,0.7463
1993-06,0.8486
1993-07,1.4314
1993-08,0.7961
1993-09,0.9225
1993-10,1.4935
1993-11,3.7528
1993-12,1.2205
1994-01,2.0161
1994-02,0.8035
1994-03,2.6201
1994-04,2.0666
1994-05,0.9113
1994-06,0.8871
1994-07,0.7427
1994-08,1.2250
1994-09,0.6192
1994-10,0.7508
1994-11,0.7846
1994-12,1.9816
1995-01,2.6667
1995-02,1.3191
1995-03,0.7642
1995-04,0.8115
1995-05,0.4872
1995-06,1.2133
1995-07,0.6087
1995-08,0.4015
1995-09,0.1616
1995-10,0.3837
1995-11,0.2356
1995-12,0.6061
1996-01,0.8612
1996-02,0.5649
1996-03,0.8721
1996-04,0.4681
1996-05,0.6681
1996-06,0.4790
1996-07,0.6872
1996-08,0.6259
1996-09,0.2772
1996-10,0.3330
1996-11,0.3004
1996-12,0.5938
1997-01,0.3837
1997-02,0.4390
1997-03,0.2106
1997-04,0.8879
1997-05,0.3669
1997-06,0.7887
1997-07,0.2306
1997-08,0.6301
1997-09,0.4463
1997-10,1.2539
1997-11,0.6754
1997-12,0.7270
1998-01,0.9599
1998-02,0.4183
1998-03,0.0902
1998-04,0.3914
1998-05,0.6010
1998-06,0.3643
1998-07,0.3671
1998-08,1.2594
1998-09,1.2564
1998-10,1.0805
1998-11,0.9620
1998-12,0.6254
1999-01,0.9041
1999-02,0.5387
1999-03,0.6101
1999-04,0.9151
1999-05,0.3858
1999-06,0.5000
1999-07,0.2217
1999-08,0.5333
1999-09,0.7545
1999-10,0.6292
1999-11,0.9512
1999-12,1.0046
2000-01,0.8196
2000-02,0.5271
2000-03,0.7346
2000-04,1.4660
2000-05,0.8577
2000-06,0.6887
2000-07,0.6629
2000-08,0.5856
2000-09,0.2144
2000-10,0.7923
2000-11,1.1767
2000-12,0.8859
2001-01,0.7726
2001-02,0.4481
2001-03,0.9408
2001-04,0.6857
2001-05,0.4333
2001-06,0.3250
2001-07,0.5060
2001-08,0.8344
2001-09,1.5548
2001-10,0.4632
2001-11,0.5789
2001-12,0.5347
2002-01,1.0064
2002-02,0.5819
2002-03,0.5733
