month,value
1985-01,270.469228
1985-02,219.835677
1985-03,119.034522
1985-04,122.044760
1985-05,107.573580
1985-06,156.643016
1985-07,173.407584
1985-08,111.330822
1985-09,113.589920
1985-10,69.607238
1985-11,70.245579
1985-12,112.563852
1986-01,119.547600
1986-02,190.259935
1986-03,104.977532
1986-04,120.613085
1986-05,148.362532
1986-06,162.770763
1986-07,183.820327
1986-08,132.992899
1986-09,166.755234
1986-10,73.603281
1986-11,58.412990
1986-12,79.135610
1987-01,124.159436
1987-02,37.383918
1987-03,58.161134
1987-04,93.713849
1987-05,98.871459
1987-06,137.081589
1987-07,59.499727
1987-08,24.436541
1987-09,64.666957
1987-10,353.299968
1987-11,289.594995
1987-12,216.724075
1988-01,268.196169
1988-02,142.518959
1988-03,46.637684
1988-04,77.709006
1988-05,61.195774
1988-06,64.501299
1988-07,59.134335
1988-08,110.963058
1988-09,69.613007
1988-10,103.528123
1988-11,176.599896
1988-12,109.470320
1989-01,94.234439
1989-02,60.876805
1989-03,47.022874
1989-04,67.464213
1989-05,78.505030
1989-06,119.271556
1989-07,103.332376
1989-08,74.322183
1989-09,51.415519
1989-10,95.285860
1989-11,67.410131
1989-12,91.161948
1990-01,128.502656
1990-02,75.274278
1990-03,55.476701
1990-04,49.948172
1990-05,58.804647
1990-06,58.901575
1990-07,77.436566
1990-08,197.200859
1990-09,162.943818
1990-10,170.255852
1990-11,178.202402
1990-12,145.671895
1991-01,343.668840
1991-02,172.323303
1991-03,176.382973
1991-04,117.593653
1991-05,52.783000
1991-06,48.239583
1991-07,96.672428
1991-08,82.485243
1991-09,96.219571
1991-10,111.793083
1991-11,201.034098
1991-12,160.088757
1992-01,160.128045
1992-02,160.020410
1992-03,95.025307
1992-04,71.477952
1992-05,48.040744
1992-06,86.182085
1992-07,173.241680
1992-08,141.733109
1992-09,195.926227
1992-10,195.248482
1992-11,117.032596
1992-12,57.608233
1993-01,55.159939
1993-02,101.617309
1993-03,82.286412
1993-04,55.473736
1993-05,105.572908
1993-06,137.560920
1993-07,132.889006
1993-08,145.958731
1993-09,40.268958
1993-10,56.890541
1993-11,57.203348
1993-12,38.656476
1994-01,63.959911
1994-02,65.791548
1994-03,104.588883
1994-04,159.869501
1994-05,160.767758
1994-06,69.774511
1994-07,73.570484
1994-08,100.506639
1994-09,51.971551
1994-10,61.626535
1994-11,126.368502
1994-12,86.436057
1995-01,185.198071
1995-02,166.741320
1995-03,96.298565
1995-04,49.733089
1995-05,39.371443
1995-06,120.163278
1995-07,88.646504
1995-08,35.921199
1995-09,32.484478
1995-10,42.068066
1995-11,93.939243
1995-12,176.515702
1996-01,138.470960
1996-02,57.522704
1996-03,68.223881
1996-04,29.412272
1996-05,57.687863
1996-06,71.414743
1996-07,92.133810
1996-08,42.340758
1996-09,68.952247
1996-10,45.356487
1996-11,31.462774
1996-12,60.654919
1997-01,53.131184
1997-02,19.423843
1997-03,60.959101
1997-04,65.533380
1997-05,75.037356
1997-06,54.077909
1997-07,24.046709
1997-08,75.882228
1997-09,16.574510
1997-10,80.451105
1997-11,53.721401
1997-12,59.102627
1998-01,120.802012
1998-02,137.387205
1998-03,54.354530
1998-04,56.656894
1998-05,60.918928
1998-06,58.822421
1998-07,83.196373
1998-08,146.098800
1998-09,239.213941
1998-10,157.484030
1998-11,148.749080
1998-12,87.634046
1999-01,109.777872
1999-02,37.158917
