month,value
1985-01,0.0000
1985-02,128.3890
1985-03,110.5982
1985-04,0.0000
1985-05,95.6039
1985-06,0.0000
1985-07,181.7737
1985-08,168.5696
1985-09,85.9951
1985-10,74.8856
1985-11,287.1750
1985-12,0.0000
1986-01,119.2023
1986-02,64.8177
1986-03,0.0000
1986-04,0.0000
1986-05,112.3203
1986-06,291.8564
1986-07,115.6133
1986-08,110.9584
1986-09,170.4304
1986-10,0.0000
1986-11,54.2731
1986-12,107.8396
1987-01,49.7631
1987-02,101.8876
1987-03,91.4507
1987-04,93.4432
1987-05,45.9321
1987-06,144.9339
1987-07,45.0452
1987-08,0.0000
1987-09,132.1844
1987-10,249.0252
1987-11,306.9397
1987-12,304.0204
1988-01,368.2035
1988-02,42.8412
1988-03,76.2649
1988-04,116.2268
1988-05,0.0000
1988-06,0.0000
1988-07,272.9441
1988-08,37.8029
1988-09,36.4858
1988-10,72.9723
1988-11,186.0743
1988-12,192.9017
1989-01,128.4151
1989-02,33.6316
1989-03,0.0000
1989-04,89.9362
1989-05,145.8823
1989-06,120.3953
1989-07,62.1234
1989-08,0.0000
1989-09,30.0278
1989-10,111.2982
1989-11,56.2415
1989-12,29.5781
1990-01,54.1587
1990-02,28.4938
1990-03,49.3038
1990-04,124.5098
1990-05,48.0805
1990-06,50.1664
1990-07,49.4645
1990-08,0.0000
1990-09,46.9113
1990-10,42.9650
1990-11,266.5316
1990-12,47.2643
1991-01,0.0000
1991-02,0.0000
1991-03,0.0000
1991-04,21.8519
1991-05,21.1554
1991-06,0.0000
1991-07,112.2762
1991-08,42.6852
1991-09,0.0000
1991-10,40.0902
1991-11,0.0000
1991-12,65.8861
1992-01,20.7161
1992-02,43.6126
1992-03,0.0000
1992-04,120.0876
1992-05,0.0000
1992-06,21.4833
1992-07,21.0786
1992-08,167.9500
1992-09,1439.2562
1992-10,368.1050
1992-11,122.6789
1992-12,182.7245
1993-01,60.4025
1993-02,148.3670
1993-03,113.3932
1993-04,39.1009
1993-05,95.4864
1993-06,81.5030
1993-07,321.9385
1993-08,218.7909
1993-09,78.3933
1993-10,18.4585
1993-11,19.4880
1993-12,19.2724
1994-01,39.6179
1994-02,40.7525
1994-03,35.9307
1994-04,37.5616
1994-05,108.9355
1994-06,187.6640
1994-07,57.1078
1994-08,56.0300
1994-09,0.0000
1994-10,52.4873
1994-11,18.1906
1994-12,111.5887
1995-01,622.0461
1995-02,318.3600
1995-03,146.4113
1995-04,68.9209
1995-05,50.2990
1995-06,223.2938
1995-07,53.2943
1995-08,17.0758
1995-09,17.0259
1995-10,47.7725
1995-11,32.8238
1995-12,34.0389
1996-01,17.1543
1996-02,0.0000
1996-03,45.4745
1996-04,15.8213
1996-05,15.1178
1996-06,16.2197
1996-07,0.0000
1996-08,15.4550
1996-09,31.6728
1996-10,14.7162
1996-11,15.3125
1996-12,15.8953
1997-01,0.0000
1997-02,0.0000
1997-03,28.3194
1997-04,73.6019
1997-05,28.6696
1997-06,45.4272
1997-07,30.7209
1997-08,103.4062
1997-09,14.7303
1997-10,283.0669
1997-11,313.7451
1997-12,858.7730
1998-01,1490.0879
1998-02,1492.8348
1998-03,383.5766
1998-04,381.7951
1998-05,415.0770
1998-06,458.0483
1998-07,758.9453
1998-08,802.9404
1998-09,923.6141
1998-10,342.1876
1998-11,174.8988
1998-12,166.6334
1999-01,400.7047
1999-02,67.8176
1999-03,49.0744
1999-04,199.2570
1999-05,98.6085
1999-06,39.4211
1999-07,78.7024
1999-08,63.7848
1999-09,88.7226
1999-10,69.6558
1999-11,125.1641
1999-12,36.9498
2000-01,122.8250
2000-02,38.6994
2000-03,45.1816
2000-04,72.5305
2000-05,23.1763
2000-06,73.3031
2000-07,37.3667
2000-08,0.0000
2000-09,141.6089
2000-10,85.1349
2000-11,99.0560
2000-12,81.6921
2001-01,117.5796
2001-02,120.5644
2001-03,10.7393
2001-04,308.5285
2001-05,10.7145
2001-06,22.9839
2001-07,46.5874
2001-08,32.5541
2001-09,51.7285
2001-10,19.7070
2001-11,20.4240
2001-12,31.7396
2002-01,100.4231
2002-02,31.1833
2002-03,28.6205
2002-04,0.0000
2002-05,0.0000
2002-06,10.4841
2002-07,84.5455
2002-08,49.6416
2002-09,48.5934
2002-10,26.8875
2002-11,9.2731
2002-12,38.8841
2003-01,27.2861
2003-02,9.6845
2003-03,17.4647
2003-04,18.2782
2003-05,35.4767
