month,value
1985-01,122.6140
1985-02,41.7622
1985-03,107.9257
1985-04,194.7529
1985-05,124.3917
1985-06,153.1636
1985-07,59.1272
1985-08,109.6643
1985-09,279.7239
1985-10,121.7935
1985-11,93.4120
1985-12,70.1655
1986-01,116.3220
1986-02,42.1677
1986-03,165.3137
1986-04,111.9002
1986-05,127.8739
1986-06,151.8955
1986-07,112.8197
1986-08,54.1386
1986-09,73.9166
1986-10,151.8781
1986-11,52.9616
1986-12,70.1559
1987-01,80.9344
1987-02,82.8547
1987-03,118.9880
1987-04,136.7779
1987-05,74.7036
1987-06,172.8611
1987-07,73.2613
1987-08,29.5414
1987-09,71.6613
1987-10,256.5083
1987-11,85.5780
1987-12,84.7641
1988-01,133.0765
1988-02,125.4180
1988-03,99.2294
1988-04,100.8163
1988-05,73.9796
1988-06,75.6823
1988-07,25.3666
1988-08,110.6683
1988-09,94.9444
1988-10,59.3409
1988-11,205.7885
1988-12,100.3949
1989-01,104.4268
1989-02,43.7586
1989-03,66.3203
1989-04,68.2601
1989-05,113.8858
1989-06,48.9526
1989-07,90.9334
1989-08,96.8951
1989-09,58.6045
1989-10,63.3552
1989-11,73.1767
1989-12,125.0748
1990-01,88.0834
1990-02,55.6106
1990-03,80.1874
1990-04,56.7005
1990-05,265.8729
1990-06,269.2484
1990-07,120.6732
1990-08,30.4926
1990-09,99.1851
1990-10,62.8902
1990-11,122.8209
1990-12,138.3666
1991-01,97.8304
1991-02,128.9940
1991-03,148.2803
1991-04,78.1875
1991-05,103.2211
1991-06,87.4753
1991-07,94.9548
1991-08,48.5960
1991-09,56.2426
1991-10,84.7631
1991-11,116.5299
1991-12,207.1696
1992-01,134.7702
1992-02,99.3037
1992-03,164.2730
1992-04,97.6549
1992-05,117.3383
1992-06,167.7134
1992-07,116.5589
1992-08,286.8105
1992-09,284.9667
1992-10,422.2297
1992-11,312.5880
1992-12,132.0809
1993-01,196.4764
1993-02,117.2044
1993-03,135.2428
1993-04,127.1871
1993-05,260.9016
1993-06,192.2062
1993-07,386.1542
1993-08,608.1632
1993-09,427.1195
1993-10,354.2460
1993-11,1020.5859
1993-12,488.9748
1994-01,199.7465
1994-02,185.5828
1994-03,268.8128
1994-04,348.2128
1994-05,277.5695
1994-06,201.4423
1994-07,309.5993
1994-08,224.7798
1994-09,160.8625
1994-10,216.2581
1994-11,627.2055
1994-12,362.9745
1995-01,433.5824
1995-02,207.1115
1995-03,179.9148
1995-04,56.0463
1995-05,114.5283
1995-06,122.9170
1995-07,46.2280
1995-08,72.2070
1995-09,22.1526
1995-10,129.4948
1995-11,80.0767
1995-12,38.7524
1996-01,44.6394
1996-02,191.2330
1996-03,138.0575
1996-04,66.9024
1996-05,83.5973
1996-06,84.4148
1996-07,51.9147
1996-08,60.3261
1996-09,51.5124
1996-10,67.0163
1996-11,89.6548
1996-12,118.9194
1997-01,44.1584
1997-02,98.1527
1997-03,50.6643
1997-04,67.0352
1997-05,139.8841
1997-06,68.9570
