month,epu_news
1985-01,103.7488
1985-02,78.313193
1985-03,100.76148
1985-04,84.778863
1985-05,98.053653
1985-06,119.59715
1985-07,111.41511
1985-08,111.24701
1985-09,111.18446
1985-10,93.099104
1985-11,85.099133
1985-12,104.17722
1986-01,144.26647
1986-02,118.99353
1986-03,120.16006
1986-04,102.47736
1986-05,132.38617
1986-06,115.05228
1986-07,130.82105
1986-08,118.30261
1986-09,125.89422
1986-10,91.820462
1986-11,98.328943
1986-12,87.979676
1987-01,110.43333
1987-02,76.966074
1987-03,99.059576
1987-04,79.532359
1987-05,87.58505
1987-06,106.57285
1987-07,81.389414
1987-08,52.79015
1987-09,59.869595
1987-10,170.32209
1987-11,183.10253
1987-12,149.01115
1988-01,142.87285
1988-02,102.03289
1988-03,82.353635
1988-04,97.856801
1988-05,99.127444
1988-06,88.285945
1988-07,80.835894
1988-08,94.889691
1988-09,85.356802
1988-10,98.253798
1988-11,102.234
1988-12,77.828101
1989-01,87.426406
1989-02,51.350641
1989-03,72.523248
1989-04,92.379827
1989-05,83.752865
1989-06,95.786299
1989-07,78.256595
1989-08,83.109306
1989-09,74.695478
1989-10,76.449554
1989-11,105.04748
1989-12,103.79668
1990-01,92.321494
1990-02,110.44627
1990-03,104.46141
1990-04,88.448172
1990-05,97.387936
1990-06,100.86434
1990-07,86.280178
1990-08,139.32268
1990-09,165.93844
1990-10,137.67424
1990-11,152.4486
1990-12,134.06154
1991-01,204.01055
1991-02,106.51806
1991-03,107.93748
1991-04,93.014643
1991-05,82.147823
1991-06,85.919035
1991-07,80.648996
1991-08,99.122088
1991-09,127.29445
1991-10,108.12096
1991-11,140.61236
1991-12,171.01098
1992-01,116.36486
1992-02,154.59694
1992-03,96.82841
1992-04,89.854222
1992-05,78.680471
1992-06,122.2935
1992-07,119.61317
1992-08,122.40712
1992-09,141.44325
1992-10,161.25424
1992-11,108.15006
1992-12,87.872095
1993-01,83.464978
1993-02,106.97612
1993-03,109.79681
1993-04,89.65113
1993-05,133.50577
1993-06,120.68006
1993-07,106.50299
1993-08,115.57618
1993-09,116.02729
1993-10,78.822508
1993-11,89.257497
1993-12,77.272013
1994-01,82.292792
1994-02,96.145653
1994-03,83.226883
1994-04,106.35445
1994-05,94.503876
1994-06,87.468898
1994-07,75.432046
1994-08,88.997294
1994-09,85.293496
1994-10,61.686224
1994-11,94.68728
1994-12,94.763187
1995-01,122.40638
1995-02,100.51556
1995-03,86.486182
1995-04,65.995564
1995-05,67.301655
1995-06,75.823385
1995-07,81.652943
1995-08,55.888009
1995-09,70.380916
1995-10,79.905524
1995-11,101.20012
1995-12,90.670606
1996-01,101.57822
1996-02,82.021395
1996-03,76.630455
1996-04,70.881059
1996-05,62.109611
1996-06,82.242937
1996-07,69.693672
1996-08,88.647423
1996-09,78.980762
1996-10,55.670242
1996-11,74.371197
1996-12,67.173346
1997-01,75.445516
1997-02,92.086141
1997-03,70.452693
1997-04,71.104439
1997-05,75.869499
1997-06,84.478046
1997-07,76.706199
1997-08,58.915026
1997-09,54.414304
1997-10,92.929558
1997-11,85.982807
1997-12,103.69953
1998-01,107.95376
1998-02,101.14947
1998-03,83.347615
1998-04,74.457284
1998-05,80.127141
1998-06,80.887732
1998-07,101.41852
1998-08,130.46704
1998-09,169.03727
1998-10,145.02323
1998-11,113.50475
1998-12,110.89498
1999-01,123.32284
1999-02,94.996282
1999-03,67.027571
1999-04,69.787894
1999-05,64.776457
1999-06,74.925619
1999-07,86.529938
1999-08,77.025337
1999-09,77.498352
1999-10,65.337079
1999-11,76.317182
1999-12,79.32243
2000-01,88.988694
2000-02,73.3652
2000-03,73.298624
2000-04,70.599742
2000-05,118.14321
2000-06,109.58423
2000-07,86.658348
2000-08,58.906461
2000-09,73.550992
2000-10,89.913447
2000-11,166.18403
2000-12,149.4485
2001-01,142.61412
2001-02,128.62566
2001-03,137.37416
2001-04,148.758
2001-05,117.43626
2001-06,93.461232
2001-07,120.29459
2001-08,95.39997
2001-09,272.76447
2001-10,247.29425
2001-11,172.48883
2001-12,149.70893
2002-01,148.44973
2002-02,104.60943
2002-03,97.512996
2002-04,106.16465
2002-05,98.64004
2002-06,111.14995
2002-07,139.66112
2002-08,136.11907
2002-09,149.84821
2002-10,128.97361
2002-11,162.22141
2002-12,160.41132
2003-01,185.59163
2003-02,161.75977
2003-03,224.6472
2003-04,176.57987
2003-05,122.30983
2003-06,110.69554
2003-07,103.74825
2003-08,91.714177
2003-09,109.55396
2003-10,78.585987
2003-11,78.6961
2003-12,90.34359
2004-01,88.277596
2004-02,88.901485
2004-03,84.330896
2004-04,79.72692
2004-05,97.208038
2004-06,85.27449
2004-07,88.956501
2004-08,84.449878
2004-09,108.50958
2004-10,118.34145
2004-11,96.695767
2004-12,66.532877
2005-01,66.734328
2005-02,51.695687
2005-03,49.30864
2005-04,78.395873
2005-05,75.090765
2005-06,82.005589
2005-07,71.939547
2005-08,59.617232
2005-09,105.76986
2005-10,79.83
2005-11,60.067852
2005-12,70.026756
2006-01,75.079238
2006-02,69.491745
2006-03,55.008073
2006-04,81.651724
2006-05,67.809799
2006-06,82.586283
2006-07,84.474456
2006-08,71.515095
2006-09,61.751346
2006-10,55.629511
2006-11,49.599131
2006-12,51.039039
2007-01,74.510027
2007-02,50.860025
2007-03,72.529866
2007-04,59.841394
2007-05,71.13732
2007-06,68.759233
2007-07,44.782751
2007-08,90.007297
2007-09,109.89266
2007-10,90.640076
2007-11,106.56617
2007-12,116.9909
2008-01,177.04221
2008-02,108.31474
2008-03,114.47458
2008-04,98.197699
2008-05,88.673434
2008-06,89.136883
2008-07,115.10272
2008-08,81.163078
2008-09,238.17187
2008-10,241.77228
2008-11,162.71338
2008-12,157.82868
2009-01,184.81783
2009-02,202.54797
2009-03,167.99122
2009-04,107.92725
2009-05,125.94462
2009-06,112.47264
2009-07,104.35511
2009-08,111.17434
2009-09,99.009636
2009-10,86.24176
2009-11,99.779269
2009-12,108.39609
2010-01,136.86386
2010-02,116.72156
2010-03,124.68751
2010-04,123.7022
2010-05,147.76326
2010-06,129.7322
2010-07,196.94725
2010-08,127.22817
2010-09,186.74125
2010-10,154.76274
2010-11,175.04428
2010-12,151.55333
2011-01,111.49282
2011-02,104.56237
2011-03,153.84173
2011-04,124.84659
2011-05,84.549161
2011-06,139.0379
