t,p
1765411213,0.29
1765497613,0.1
1765584015,0.105
1765670415,0.105
1765756816,0.105
1765843214,0.11
1765929611,0.11
1765929634,0.11
1766016023,0.11
1766102414,0.11
1766188813,0.11
1766275214,0.11
1766361613,0.105
1766448015,0.11
1766534415,0.11
1766620825,0.11
1766707211,0.085
1766793615,0.09
1766880015,0.1
1766966431,0.11
1767052818,0.105
1767139215,0.11
1767225615,0.11
1767312015,0.095
1767398413,0.09
1767484815,0.095
1767571217,0.085
1767657619,0.12
1767744016,0.12
1767830432,0.115
1767916817,0.115
1768003217,0.12
1768089616,0.125
1768176018,0.125
1768262418,0.115
1768348818,0.115
1768435219,0.12
1768521622,0.12
1768608020,0.12
1768694428,0.125
1768780817,0.115
1768867218,0.115
1768953619,0.115
1769040027,0.095
1769126435,0.09
1769212829,0.095
1769299238,0.105
1769385637,0.105
1769472032,0.115
1769558422,0.11
1769644836,0.115
1769731225,0.11
1769817625,0.125
1769904029,0.125
1769990424,0.125
1770076826,0.125
1770163237,0.125
1770249623,0.12
1770336028,0.125
1770422434,0.12
1770508831,0.12
1770595230,0.12
1770681632,0.12
1770768034,0.12
1770854443,0.135
1770940832,0.13
1771027235,0.13
1771113634,0.115
1771200044,0.115
1771286435,0.115
1771372840,0.115
1771459240,0.115
1771545638,0.13
1771632027,0.13
1771718427,0.13
1771804831,0.095
1771891231,0.095
1771977634,0.08
1772064032,0.09
1772150436,0.09
1772236838,0.095
1772323247,0.095
1772409648,0.075
1772496040,0.06
1772582441,0.11
1772668838,0.095
1772755237,0.095
1772841642,0.11
1772928035,0.105
1773014430,0.125
1773100836,0.105
1773187240,0.115
1773273641,0.115
1773360056,0.14
1773446454,0.14
1773532859,0.155
1773705644,0.155
1773792046,0.175
1773964850,0.18
1774051249,0.2
1774137647,0.205
1774224040,0.235
1774310436,0.195
1774396847,0.205
1774483250,0.225
1774569655,0.24
1775347223,0.185
1775692840,0.145
1775952021,0.155
1776816009,0.135
1776902414,0.125
1776988823,0.125
1777075213,0.125
1777161607,0.125
1777248008,0.135
1777334409,0.125
1777420807,0.145
1777507213,0.17
1777593608,0.165
1777680006,0.175
1777766406,0.185
1777852805,0.195
1777939219,0.245
1778025609,0.235
1778112009,0.195
1778198405,0.195
1778284823,0.185
1778371209,0.165
1778457611,0.185
1778544012,0.205
1778630413,0.275
1778716816,0.325
1778803210,0.315
1778889617,0.315
1778976027,0.315
1779062410,0.305
1779148808,0.32
1779235211,0.345
1779321613,0.315
1779408014,0.345
1779494410,0.425
1779580806,0.375
1779667207,0.345
1779753607,0.345
1779840008,0.385
1779926411,0.305
1780012811,0.315
1780099221,0.315
1780185610,0.315
1780272006,0.36
1780358408,0.355
1780444808,0.34
1780531206,0.405
1780617619,0.395
1780704004,0.505
1780790415,0.48
1780876805,0.615
1780963206,0.545
1781049607,0.545
1781136011,0.515
1781222407,0.49
1781308807,0.395
1781395210,0.425
1781481606,0.345
1781568010,0.355
1781654408,0.36
1781740823,0.515
1781827225,0.555
1781913607,0.655
1782000010,0.625
1782086409,0.615
1782172808,0.575
1782259207,0.595
1782345612,0.555
1782432007,0.525
1782518407,0.515
1782604807,0.525
1782691206,0.525
1782777607,0.525
1782864007,0.545
1782950411,0.54
1783036808,0.47
1783123207,0.475
1783209607,0.475
1783296004,0.475
1783382409,0.475
1783468806,0.495
1783555213,0.595
1783641608,0.505
1783728008,0.535
1783814420,0.535
1783900808,0.6
1783987209,0.705
1784073611,0.525
1784160011,0.505
1784246412,0.515
1784332809,0.525
1784419211,0.535
1784505624,0.535
1784592011,0.585
1784678409,0.595
1784764817,0.655
1784851217,0.74
1784937624,0.725
1785024018,0.705
1785110421,0.665
1785196829,0.765
1785369624,0.615
1785456022,0.665
1785542413,0.665
1785628813,0.675
1785715211,0.675
1785801612,0.675
1785888013,0.625
1785974412,0.635
1786060813,0.635
1786147216,0.545
1786233626,0.545
1786320018,0.545
1786406422,0.585
1786492814,0.595
1786579219,0.545
1786665618,0.525
1786752017,0.475
1786838419,0.455
1786924820,0.465
1787011230,0.485
1787097620,0.505
1787184023,0.495
1787270420,0.495
1787356820,0.565
1787443218,0.555
1787529621,0.545
1787616020,0.565
1787702421,0.565
1787788822,0.585
1787875221,0.575
1787944153,0.675
