t,p
1778716808,0.28
1778803206,0.135
1778889612,0.1
1778976023,0.105
1779062407,0.11
1779148805,0.11
1779235208,0.125
1779321605,0.155
1779408009,0.145
1779494406,0.175
1779580804,0.175
1779667204,0.175
1779753604,0.155
1779840005,0.155
1779926405,0.155
1780012807,0.115
1780099218,0.12
1780185607,0.12
1780272003,0.135
1780358405,0.13
1780444805,0.125
1780531203,0.16
1780617618,0.17
1780704003,0.19
1780790413,0.19
1780876803,0.155
1780963203,0.205
1781049604,0.21
1781136005,0.195
1781222404,0.16
1781308804,0.16
1781395207,0.16
1781481603,0.16
1781568006,0.13
1781654405,0.155
1781740816,0.385
1781827221,0.395
1781913604,0.375
1782000006,0.375
1782086405,0.385
1782172804,0.395
1782259204,0.375
1782345604,0.365
1782432003,0.345
1782518404,0.315
1782604803,0.315
1782691203,0.305
1782777604,0.295
1782864003,0.28
1782950404,0.31
1783036804,0.265
1783123203,0.245
1783209603,0.245
1783296004,0.235
1783382408,0.235
1783468804,0.285
1783555208,0.375
1783641605,0.375
1783728006,0.39
1783814418,0.385
1783900806,0.395
1783987205,0.495
1784073605,0.385
1784160004,0.305
1784246406,0.325
1784332804,0.355
1784419205,0.365
1784505618,0.375
1784592006,0.41
1784678405,0.485
1784764807,0.495
1784851205,0.515
1784937606,0.535
1785024006,0.535
1785110405,0.495
1785196807,0.535
1785283217,0.555
1785369620,0.525
1785456019,0.525
1785542410,0.595
1785628810,0.595
1785715209,0.575
1785801609,0.545
1785888010,0.485
1785974407,0.445
1786060809,0.475
1786147210,0.365
1786233622,0.355
1786320012,0.355
1786406418,0.435
1786492811,0.395
1786579213,0.325
1786665612,0.275
1786752011,0.245
1786838412,0.245
1786924812,0.245
1787011223,0.275
1787097613,0.285
1787184015,0.275
1787270412,0.275
1787356812,0.305
1787443211,0.305
1787529614,0.315
1787616012,0.335
1787702412,0.325
1787788814,0.325
1787875212,0.305
1787961613,0.495
1788048012,0.465
1788134415,0.525
1788220823,0.545
1788222911,0.545
