t,p
1778716816,0.515
1778803209,0.785
1778889616,0.76
1778976026,0.8
1779062410,0.805
1779148808,0.815
1779235211,0.76
1779321613,0.73
1779408014,0.725
1779494410,0.715
1779580806,0.705
1779667207,0.695
1779753607,0.665
1779840008,0.725
1779926411,0.755
1780012811,0.755
1780099221,0.735
1780185610,0.75
1780272006,0.745
1780358408,0.785
1780444808,0.795
1780531205,0.755
1780617619,0.765
1780704004,0.73
1780790415,0.755
1780876805,0.785
1780963206,0.74
1781049607,0.735
1781136011,0.745
1781222407,0.735
1781308807,0.735
1781395210,0.735
1781481606,0.735
1781568010,0.735
1781654408,0.695
1781740821,0.545
1781827224,0.475
1781913607,0.495
1782000010,0.495
1782086409,0.515
1782172807,0.545
1782259207,0.565
1782345612,0.565
1782432006,0.595
1782518407,0.625
1782604807,0.625
1782691206,0.625
1782777607,0.625
1782864007,0.645
1782950411,0.625
1783036808,0.655
1783123207,0.685
1783209607,0.685
1783296004,0.705
1783382409,0.695
1783468806,0.655
1783555213,0.565
1783641608,0.565
1783728008,0.565
1783814420,0.555
1783900808,0.555
1783987208,0.44
1784073609,0.565
1784160011,0.64
1784246410,0.605
1784332807,0.605
1784419208,0.585
1784505622,0.585
1784592009,0.535
1784678408,0.445
1784764815,0.455
1784851215,0.415
1784937616,0.405
1785024015,0.405
1785110420,0.445
1785196823,0.415
1785369624,0.445
1785456021,0.445
1785542412,0.385
1785628813,0.385
1785715210,0.405
1785801612,0.425
1785888013,0.495
1785974411,0.535
1786060812,0.485
1786147215,0.625
1786233625,0.625
1786320017,0.625
1786406422,0.555
1786492813,0.595
1786579218,0.665
1786665618,0.705
1786752016,0.745
1786838418,0.735
1786924819,0.745
1787011229,0.705
1787097619,0.705
1787184022,0.715
1787270419,0.705
1787356819,0.675
1787443217,0.685
1787529620,0.675
1787616018,0.645
1787702420,0.675
1787788820,0.665
1787875220,0.685
1787961620,0.495
1788048019,0.535
1788134420,0.465
1788220831,0.435
1788253869,0.405
