t,p
1736467204,0.245
1736553604,0.125
1736640004,0.125
1736726404,0.135
1736812803,0.145
1736899203,0.14
1736985604,0.145
1737072004,0.155
1737158404,0.165
1737244804,0.165
1737331204,0.17
1737417603,0.17
1737504003,0.18
1737590404,0.18
1737676803,0.185
1737763205,0.235
1737849604,0.24
1737936004,0.24
1738022404,0.24
1738108804,0.285
1738195205,0.295
1738281604,0.295
1738368005,0.295
1738454404,0.31
1738540805,0.31
1738627204,0.56
1738713604,0.515
1738800005,0.51
1738886404,0.51
1738972804,0.485
1739059206,0.49
1739145605,0.545
1739232004,0.6
1739318404,0.61
1739404804,0.615
1739491205,0.615
1739577604,0.615
1739664004,0.615
1739750404,0.615
1739836804,0.615
1739923204,0.615
1740009604,0.625
1740096005,0.62
1740182405,0.605
1740268804,0.605
1740355204,0.61
1740441604,0.605
1740528005,0.595
1740614405,0.535
1740700805,0.55
1740787205,0.565
1740873605,0.55
1740960005,0.55
1741046405,0.565
1741132804,0.58
1741219205,0.58
1741305605,0.53
1741392005,0.525
1741478405,0.475
1741564804,0.495
1741651205,0.525
1741737605,0.375
1741824006,0.54
1741910405,0.295
1741996804,0.3
1742083204,0.315
1742169604,0.325
1742256005,0.355
1742342405,0.365
1742428805,0.37
1742515205,0.37
1742601606,0.375
1742688006,0.37
1742774405,0.385
1742860806,0.38
1742947205,0.385
1743033606,0.385
1743120006,0.385
1743206406,0.385
1743292806,0.385
1743379205,0.375
1743465605,0.375
1743552006,0.375
1743638405,0.37
1743724805,0.375
1743811205,0.375
1743897605,0.365
1743984006,0.345
1744070406,0.345
1744156806,0.345
1744243205,0.335
1744329605,0.335
1744416006,0.34
1744502405,0.345
1744588805,0.345
1744675205,0.345
1744761605,0.345
1744848006,0.345
1744934404,0.345
1745020806,0.34
1745107206,0.335
1745193606,0.335
1745280006,0.33
1745366407,0.335
1745452806,0.335
1745539206,0.335
1745625606,0.345
1745712005,0.34
1745798405,0.345
1745884805,0.34
1745971206,0.345
1746057606,0.335
1746144006,0.335
1746230406,0.335
1746316805,0.335
1746403205,0.335
1746489606,0.335
1746576005,0.335
1746662406,0.335
1746748807,0.335
1746835206,0.325
1746921606,0.325
1747008006,0.325
1747094406,0.325
1747180807,0.325
1747267207,0.325
1747353606,0.325
1747440007,0.325
1747526406,0.325
1747612806,0.325
1747699206,0.325
1747785606,0.315
1747872007,0.32
1747958407,0.32
1748044807,0.325
1748131206,0.315
1748217607,0.32
1748304006,0.325
1748390406,0.325
1748476807,0.325
1748563207,0.315
1748649607,0.315
1748736007,0.315
1748822406,0.31
1748908807,0.315
1748995206,0.325
1749081606,0.315
1749168006,0.32
1749254407,0.315
1749340807,0.31
1749427207,0.31
1749513606,0.305
1749600007,0.305
1749686407,0.31
1749772807,0.32
1749859208,0.325
1749945608,0.325
1750032007,0.325
1750118408,0.325
1750204808,0.315
1750291207,0.315
1750377608,0.315
1750464008,0.32
1750550406,0.32
1750636807,0.32
1750723207,0.32
1750809607,0.315
1750896008,0.325
1750982407,0.325
1751068807,0.315
1751155208,0.315
1751241607,0.315
1751328008,0.31
1751414407,0.3
1751500808,0.305
1751587208,0.29
1751673608,0.295
1751760007,0.295
1751846407,0.28
1751932808,0.305
1752019207,0.325
1752105608,0.405
1752192008,0.395
1752278409,0.395
1752364808,0.4
1752451207,0.405
1752537608,0.405
1752624008,0.395
1752710408,0.405
1752796808,0.405
1752883209,0.395
1752969608,0.405
1753056007,0.41
1753142409,0.425
1753228809,0.425
1753315209,0.435
1753401609,0.425
1753488009,0.415
1753574410,0.375
1753660809,0.375
1753747210,0.405
1753833610,0.375
1753920008,0.365
1754006409,0.375
1754092809,0.375
1754179208,0.375
1754265607,0.385
1754352008,0.385
1754438409,0.355
1754524802,0.375
1754611209,0.375
1754697602,0.385
1754784003,0.385
1754870412,0.395
1754956809,0.375
1755043210,0.375
1755129607,0.385
1755216011,0.405
1755302409,0.405
1755388810,0.405
1755475205,0.41
1755561606,0.405
1755648008,0.4
1755734408,0.4
1755820807,0.38
1755907207,0.365
1755993607,0.355
1756080014,0.345
1756166409,0.345
1756252805,0.335
1756339209,0.335
1756425608,0.335
1756512008,0.475
1756598418,0.455
1756684809,0.46
1756771211,0.47
1756857614,0.485
1756944014,0.505
1757030411,0.5
1757116808,0.44
1757203214,0.425
1757289619,0.505
1757376005,0.5
1757462415,0.52
1757548811,0.555
1757635203,0.53
1757721603,0.52
1757808021,0.535
1757894414,0.525
1757980824,0.605
1758067216,0.57
1758153614,0.56
1758240002,0.565
1758326409,0.6
1758412807,0.65
1758499218,0.675
1758585609,0.68
1758672003,0.705
1758758402,0.735
1758844808,0.745
1758931210,0.82
1759017607,0.785
1759104008,0.68
1759190409,0.825
1759276803,0.989
