market,theme,asset,n_events,car_window,window_end,car_pct,t,p,pre_event_car_pct,post_event_car_pct,pre_share_of_move,post_only_t,p_fdr
fed_sep2026_no_change,monetary,TLT,4,"[-5,-1]",-1,-0.5284595485520528,-0.8465997034535833,0.45940612947496917,-0.5284595485520528,-0.9516353099303959,0.35704437828659574,-1.7168726280722426,0.8428511448266904
fed_sep2026_no_change,monetary,TLT,4,"[-5,+0]",0,-0.583802573708641,-0.7595920638655321,0.5027344985426994,-0.5284595485520528,-0.9516353099303959,0.35704437828659574,-1.7168726280722426,0.8086894378611362
fed_sep2026_no_change,monetary,TLT,4,"[-5,+1]",1,-1.1596169998834864,-1.2473921351912756,0.30075949438484395,-0.5284595485520528,-0.9516353099303959,0.35704437828659574,-1.7168726280722426,0.7078592852411123
fed_sep2026_no_change,monetary,TLT,4,"[-5,+3]",3,-1.3802124512611302,-1.4495677525027617,0.24304437598946227,-0.5284595485520528,-0.9516353099303959,0.35704437828659574,-1.7168726280722426,0.6886257319701431
fed_sep2026_no_change,monetary,TLT,4,"[-5,+5]",5,-1.480094858482449,-1.4901897859246305,0.2329518994266946,-0.5284595485520528,-0.9516353099303959,0.35704437828659574,-1.7168726280722426,0.8928103527660355
fed_sep2026_no_change,monetary,XLF,4,"[-5,-1]",-1,-0.9641963051467475,-1.3015952688707944,0.2839881108122877,-0.9641963051467475,0.40717079753919905,0.7030913190627672,0.6273101469751078,0.8428511448266904
fed_sep2026_no_change,monetary,XLF,4,"[-5,+0]",0,-1.3258287286838373,-2.3865201718252655,0.09704527974828903,-0.9641963051467475,0.40717079753919905,0.7030913190627672,0.6273101469751078,0.4554391617996014
fed_sep2026_no_change,monetary,XLF,4,"[-5,+1]",1,-0.7138905178145961,-2.837359988751648,0.06578941414694328,-0.9641963051467475,0.40717079753919905,0.7030913190627672,0.6273101469751078,0.37280668016601193
fed_sep2026_no_change,monetary,XLF,4,"[-5,+3]",3,-1.1911702583616741,-1.9152957518652685,0.15133567180680774,-0.9641963051467475,0.40717079753919905,0.7030913190627672,0.6273101469751078,0.6886257319701431
fed_sep2026_no_change,monetary,XLF,4,"[-5,+5]",5,-0.5570255076075484,-0.9653758729309244,0.4055684285205463,-0.9641963051467475,0.40717079753919905,0.7030913190627672,0.6273101469751078,0.8928103527660355
fed_sep2026_no_change,monetary,SPY,4,"[-5,-1]",-1,0.7434602868205982,0.7754884752471266,0.4945702629786488,0.7434602868205982,1.5937784946430988,0.3180934240510102,1.892334350033784,0.8428511448266904
fed_sep2026_no_change,monetary,SPY,4,"[-5,+0]",0,1.6691549536490256,2.064158728428413,0.13097279059061662,0.7434602868205982,1.5937784946430988,0.3180934240510102,1.892334350033784,0.4554391617996014
fed_sep2026_no_change,monetary,SPY,4,"[-5,+1]",1,1.083051953365073,1.1088393736559643,0.3483988973060077,0.7434602868205982,1.5937784946430988,0.3180934240510102,1.892334350033784,0.7078592852411123
fed_sep2026_no_change,monetary,SPY,4,"[-5,+3]",3,1.5031361103613814,1.578731286365506,0.2125127236245965,0.7434602868205982,1.5937784946430988,0.3180934240510102,1.892334350033784,0.6886257319701431
fed_sep2026_no_change,monetary,SPY,4,"[-5,+5]",5,2.3372387814636966,2.8281805937496935,0.0662890840865511,0.7434602868205982,1.5937784946430988,0.3180934240510102,1.892334350033784,0.5634572147356843
fed_sep2026_no_change,monetary,XLI,4,"[-5,-1]",-1,-0.3319641655218962,-0.32151289037739944,0.7689203398569231,-0.3319641655218962,-1.5582245235227588,0.17562488202681956,-1.3017516987850697,0.8428511448266904
fed_sep2026_no_change,monetary,XLI,4,"[-5,+0]",0,-0.7609741788071411,-0.6510622520556733,0.5614284190755205,-0.3319641655218962,-1.5582245235227588,0.17562488202681956,-1.3017516987850697,0.8086894378611362
