window,target,target_label,target_kind,overlap_months,regressor,n,beta,t,p,t_ols,hac_lags,r2,underpowered
polymarket,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPU,11,-0.051635663153036686,-0.6712573758840389,0.5189117707215801,-0.5869330405193356,2,0.0368656159433266,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,log_EPU,11,-0.031186945607910306,-0.40757627616218606,0.6931092066047161,-0.3853926807396893,2,0.016235128338360494,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUMONETARY,10,-0.04354622461984284,-0.795137507427177,0.44947855858970776,-0.6929853383494182,2,0.05662921335446991,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,log_EPUMONETARY,10,-0.03744547039805192,-0.5622584236361107,0.5893427581766416,-0.5667201844847151,2,0.03859694000749925,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUTRADE,10,-5.357544458797683e-05,-0.002831257068820021,0.9978103146178979,-0.0010337583546288867,2,1.3358202433089161e-07,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,log_EPUTRADE,10,-0.020564817303697292,-0.7163840133905675,0.49413302309070467,-0.5144258667794706,2,0.032020047505453064,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUSOVDEBT,10,-0.007981522246687052,-0.3737970708748871,0.7182673368284856,-0.36222738149627914,2,0.016136429543918585,True
polymarket,ret,contemporaneous monthly return,contemporaneous,1,log_EPUSOVDEBT,10,0.006943479695985322,0.5982395993059495,0.5662275333818833,0.4064545412919072,2,0.02023284022698668,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPU,11,-0.038117680518475305,-0.6454473605849933,0.5347442238454265,-0.5498156559115494,2,0.032497053919362306,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPU,11,0.04355134534051826,1.3561511031432456,0.20809498171780935,0.6969924673961446,2,0.0512132425780597,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUMONETARY,10,-0.02693411577657657,-0.8063849060711191,0.4433300155552426,-0.5598652828099323,2,0.03770386151520866,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUMONETARY,10,-0.02874388459328922,-0.7771724075275666,0.45941882834914055,-0.5741926811623541,2,0.039580938633771434,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUTRADE,10,-0.03294732020436414,-1.3680132501960056,0.20849580504210413,-0.8781683115731683,2,0.0879219922604555,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUTRADE,10,-0.03408486201172701,-1.246251851881797,0.2479275729226815,-1.2025233333243024,2,0.1530862608119382,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUSOVDEBT,10,0.010128100250343131,1.981363885150172,0.08287359689598246,0.6155450090330922,2,0.0452202382753395,True
polymarket,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUSOVDEBT,10,0.023091879981037487,2.6436639753116387,0.029544850537954224,2.2590124973075882,2,0.3894592022258051,True
polymarket,fwd_abs_ret,next month |return|,forward,1,dlog_EPU,11,-0.020978347120799025,-0.9197679505803008,0.3816849315335375,-0.3002536394042732,2,0.009917572942256037,True
polymarket,fwd_abs_ret,next month |return|,forward,1,log_EPU,11,0.07038907620138614,1.3824016493614997,0.20018575495536045,1.1841085492329733,2,0.13479117644356464,True
polymarket,fwd_abs_ret,next month |return|,forward,1,dlog_EPUMONETARY,10,0.005781259739453684,0.27867968979185587,0.7875586331930216,0.11335335009585557,2,0.0016035472535239625,True
polymarket,fwd_abs_ret,next month |return|,forward,1,log_EPUMONETARY,10,0.02405152109881576,1.0958312166660094,0.3050421903012275,0.4582903485241308,2,0.02558212849846586,True
polymarket,fwd_abs_ret,next month |return|,forward,1,dlog_EPUTRADE,10,-0.008614323029832014,-0.3273897526587835,0.7517758165110063,-0.21126675344748558,2,0.005548250312374825,True
polymarket,fwd_abs_ret,next month |return|,forward,1,log_EPUTRADE,10,0.0021718031163850235,0.11156585181254922,0.9139160445364004,0.0677680266791636,2,0.0005737338205370479,True
polymarket,fwd_abs_ret,next month |return|,forward,1,dlog_EPUSOVDEBT,10,0.022618566122252565,1.7476025363957461,0.11866476276106032,1.4503294875841535,2,0.2081917020410441,True
polymarket,fwd_abs_ret,next month |return|,forward,1,log_EPUSOVDEBT,10,0.016205795499681364,1.4847406515382717,0.1759112481909652,1.3119984379066447,2,0.1770681735837779,True
full,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPU,401,-0.03322611798381364,-3.39138855165447,0.0007648298237377944,-4.073368403137352,5,0.03992453407834018,False
full,ret,contemporaneous monthly return,contemporaneous,1,log_EPU,401,-0.004018583182544931,-0.8394179024476902,0.40173749437240447,-0.8772343069048502,5,0.0019249591380940956,False
full,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUMONETARY,400,-0.015978736880420834,-3.380121968540162,0.0007961450754608285,-3.808893636649345,5,0.0351694568720321,False
full,ret,contemporaneous monthly return,contemporaneous,1,log_EPUMONETARY,400,-0.0062394455057913365,-1.909810220853248,0.05687623960453825,-1.8588839857312396,5,0.008607305431344248,False
full,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUTRADE,400,-0.0020482472277536853,-0.6069415321293868,0.5442357891433354,-0.6621237820666681,5,0.0011003153663972087,False
full,ret,contemporaneous monthly return,contemporaneous,1,log_EPUTRADE,400,0.0010077944790329646,0.7721114917712875,0.44050661783904543,0.5819256626141657,5,0.0008501246049190669,False
full,ret,contemporaneous monthly return,contemporaneous,1,dlog_EPUSOVDEBT,400,-0.0021530288452790065,-1.3105754383238177,0.1907570068230678,-1.3494951446698378,5,0.0045548796106414935,False
full,ret,contemporaneous monthly return,contemporaneous,1,log_EPUSOVDEBT,400,0.0007723885783402995,0.5449441073927749,0.5860971811056088,0.49998588530942584,5,0.0006277109714210027,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPU,401,0.006809529454546301,1.1939869794522142,0.2331924228998158,1.2987863109351683,5,0.004209885846792938,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPU,401,0.013467155215620079,3.177226938387884,0.0016026278485158764,4.785142950193367,5,0.05427286960337341,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUMONETARY,400,0.003933323254249596,1.5396227240578548,0.1244469840958892,1.4659765014145532,5,0.005370715995531294,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUMONETARY,400,0.010781455174214213,3.8961444559221854,0.0001146340441753835,5.250044382406463,5,0.06476824399264391,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUTRADE,400,0.00041253966941008765,0.2312199153388607,0.8172627790387986,0.21160404363718274,5,0.0001124905386350461,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUTRADE,400,-0.00021195816048273446,-0.18772639413381254,0.8511868075352705,-0.1942216523479082,5,9.47700384942296e-05,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,dlog_EPUSOVDEBT,400,0.0009776003823204617,1.2345357754693502,0.21773170928347596,0.9716773707934159,5,0.002366639281592864,False
full,abs_ret,contemporaneous |monthly return|,contemporaneous,1,log_EPUSOVDEBT,400,0.0027055494886847895,2.5234428006015355,0.012009681024238454,2.80681267476041,5,0.019410250271715057,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,dlog_EPU,390,-0.050698516076925604,-1.141491812891665,0.25436931758356635,-0.614246676580611,11,0.0009714753686205224,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,log_EPU,390,0.3295301176923514,3.010420662403252,0.0027794111060552365,7.818347197768579,11,0.13610095530870325,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,dlog_EPUMONETARY,389,-0.010740919370349686,-0.4687939844337791,0.6394808595601149,-0.2519838407219368,11,0.0001640450640908453,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,log_EPUMONETARY,389,0.2403216275779911,3.4619203838382773,0.0005961828871639207,7.724632308041818,11,0.13358844725650354,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,dlog_EPUTRADE,389,-0.009529744616987456,-0.663891676109384,0.5071549584230107,-0.30966071290518205,11,0.000247715771864776,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,log_EPUTRADE,389,-0.00300117794526724,-0.08834523613822384,0.9296479837413787,-0.1725685045313915,11,7.694469599883735e-05,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,dlog_EPUSOVDEBT,389,0.0029852985000418087,0.5401738908597339,0.5893878245649815,0.1887001412021058,11,9.200120758212638e-05,False
full,log_rv12,trailing 12m realised vol (log),contemporaneous,12,log_EPUSOVDEBT,389,0.07934146368009513,3.5049211779708016,0.0005102148173987307,5.3678426446132885,11,0.06929481220978495,False
full,fwd_abs_ret,next month |return|,forward,1,dlog_EPU,402,0.013931059170622392,2.1005497357827805,0.036305990164668976,2.6812563507493827,5,0.01765551924050024,False
full,fwd_abs_ret,next month |return|,forward,1,log_EPU,402,0.011347458882658472,3.1027139939603163,0.002053649849226474,4.003888347228269,5,0.03853346793857537,False
full,fwd_abs_ret,next month |return|,forward,1,dlog_EPUMONETARY,401,0.005828437448835825,2.324113928303052,0.02062080773437806,2.1816451638381444,5,0.011788143014513364,False
full,fwd_abs_ret,next month |return|,forward,1,log_EPUMONETARY,401,0.008168360549837677,3.3134384663249707,0.0010057182103373826,3.9176823745385985,5,0.037041874163685096,False
full,fwd_abs_ret,next month |return|,forward,1,dlog_EPUTRADE,401,-0.0002765519091943733,-0.15296969590541912,0.878499501368245,-0.1418438734567878,5,5.042273169864053e-05,False
full,fwd_abs_ret,next month |return|,forward,1,log_EPUTRADE,401,-0.000489076391679872,-0.4219630264248805,0.6732792658957881,-0.44795909111093585,5,0.0005026728753795284,False
full,fwd_abs_ret,next month |return|,forward,1,dlog_EPUSOVDEBT,401,0.0005734049615847845,0.6333093598094773,0.5268944697054115,0.5693868067309609,5,0.0008118749992984675,False
full,fwd_abs_ret,next month |return|,forward,1,log_EPUSOVDEBT,401,0.0017280525782554196,1.6768529223591044,0.09435446763831201,1.7828891123332469,5,0.007903684699273716,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,dlog_EPU,391,0.05638142596409261,1.1967609990491965,0.23212857161082526,0.6871591884510406,11,0.0012123786116798874,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,log_EPU,391,0.1810370343836912,1.7665029730789235,0.07809571012378838,3.8570683452630843,11,0.036835415475443334,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,dlog_EPUMONETARY,391,0.020625488745691797,1.051711347935483,0.2935848800106585,0.4918058562982123,11,0.0006213951197614476,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,log_EPUMONETARY,391,0.07353394275696945,1.5338430354022274,0.12588115001704905,2.142347999340801,11,0.011661015203408454,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,dlog_EPUTRADE,391,-0.0029634594030520604,-0.18746010668237914,0.851397637692912,-0.0974033888156888,11,2.4388660069929458e-05,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,log_EPUTRADE,391,0.01770590210779143,0.38909533848640054,0.6974185226156576,0.940795633870914,11,0.0022701468530780256,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,dlog_EPUSOVDEBT,391,0.0057639784784323245,0.9066266215248876,0.3651655229268001,0.36628763127656117,11,0.00034478244351709986,False
full,log_fwd_rv12,forward 12m realised vol (log),forward,12,log_EPUSOVDEBT,391,-0.00031895562720250055,-0.010348192000085263,0.9917487896411671,-0.020864422151481828,11,1.1190838675734227e-06,False
