target_label,target_kind,regressor,r2_full,n_full,n_short,n_short_effective,estimable_on_short_window,power_at_alpha05,power_at_alpha05_eff,power_at_fdr_screen
trailing 12m realised vol (log),contemporaneous,log_EPU,0.13610095530870325,390,11,6.4,False,0.21826904019336846,0.11825331725653043,0.034637402374927295
trailing 12m realised vol (log),contemporaneous,log_EPUMONETARY,0.13358844725650354,389,10,7.3,False,0.19516319163921325,0.13641305398716752,0.02859527404955109
trailing 12m realised vol (log),contemporaneous,log_EPUSOVDEBT,0.06929481220978495,389,10,5.0,False,0.11897091842438112,0.07278705057600332,0.014341247991865536
contemporaneous |monthly return|,contemporaneous,log_EPUMONETARY,0.06476824399264391,400,10,7.4,True,0.11405433594908221,0.0883546507580405,0.013530262708730367
contemporaneous |monthly return|,contemporaneous,log_EPU,0.05427286960337341,401,11,6.7,True,0.10993259415261591,0.0746384813071641,0.013122598183581635
contemporaneous monthly return,contemporaneous,dlog_EPU,0.03992453407834018,401,11,10.8,True,0.09316037900885443,0.08810403951681978,0.01040456028056802
next month |return|,forward,log_EPU,0.03853346793857537,402,11,6.8,True,0.09156987550403228,0.06717134089670795,0.010155284654636443
next month |return|,forward,log_EPUMONETARY,0.037041874163685096,401,10,7.2,True,0.0852053873025268,0.07117990455474954,0.009035452663731292
contemporaneous monthly return,contemporaneous,dlog_EPUMONETARY,0.0351694568720321,400,10,8.5,True,0.08333500798423332,0.074496212336429,0.008759641360476134
contemporaneous |monthly return|,contemporaneous,log_EPUSOVDEBT,0.01941025027171528,400,10,5.1,True,0.06797842056260939,0.056049664622257356,0.006567491985724372
next month |return|,forward,dlog_EPUMONETARY,0.011788143014513364,401,10,10.0,True,0.06079634391709554,0.06079634391709554,0.005586817928392551
