dropped,n,delta_r2,t,delta_r2_change
none (full sample),161,0.004910518767386907,0.5302122818185798,0.0
2026-03-02,160,0.006901914208132798,0.6211194166273016,0.001991395440745891
2026-02-24,160,0.005050178308042108,0.5317362561361397,0.00013965954065520148
2026-02-25,160,0.004970083159975269,0.5279889410533366,5.956439258836266e-05
2026-02-26,160,0.004857971559257379,0.5221223636740151,-5.254720812952751e-05
2026-01-02,160,0.004728009865397342,0.5186674980831875,-0.00018250890198956427
2026-01-22,160,0.003961557962594231,0.47342592149849855,-0.0009489608047926756
2026-06-10,160,0.003813576583857836,0.46335538313765834,-0.0010969421835290705
2026-06-05,160,0.003930315339119028,0.47006718794124064,-0.0009802034282678784
2026-05-22,160,0.00966658346939353,0.7876687108363337,0.004756064702006624
2026-06-11,160,0.0038101298573716136,0.4652854661713318,-0.001100388910015293
