horizon,signal_set,n,delta_r2,placebo_mean_delta_r2,detectable_floor,placebo_q95_delta_r2,placebo_p,n_shifts,exact_null,placebo_p_fdr,survives_raw_10pct,survives_fdr_10pct
5,CPUI,159,0.00015274087290229055,0.006863695395707847,0.02157055289914309,0.031313483086992076,0.8424657534246576,145,True,0.9026418786692759,False,False
5,agg_entropy,161,0.004910518767386907,0.015497532241013676,0.048088826844335304,0.07792334543829621,0.4931506849315068,145,True,0.9026418786692759,False,False
5,agg_flow,160,0.0005941883752084154,0.006220869756955882,0.01439233815246881,0.026968979377487285,0.726027397260274,145,True,0.9026418786692759,False,False
5,disp_flow,159,0.0010170667540833067,0.005749332688871539,0.014968104473657328,0.023356562546327772,0.6643835616438356,145,True,0.9026418786692759,False,False
5,entropy+flow,160,0.006119648432120317,0.02166783638319391,0.05513181308141096,0.0893423083888857,0.678082191780822,145,True,0.9026418786692759,False,False
10,CPUI,159,0.0019411428176933088,0.0068885090118755606,0.019039344166703758,0.024867262147542337,0.6232876712328768,145,True,0.9026418786692759,False,False
10,agg_entropy,161,0.022859067424262802,0.019674171556142258,0.054610645811551964,0.06703432754198785,0.3082191780821918,145,True,0.9026418786692759,False,False
10,agg_flow,160,0.0016313458819379179,0.006645169479210626,0.015342269499430582,0.019665076317960894,0.7054794520547946,145,True,0.9026418786692759,False,False
10,disp_flow,159,0.0009596068775259425,0.006490087712047841,0.019613321100437557,0.02549832156530915,0.684931506849315,145,True,0.9026418786692759,False,False
10,entropy+flow,160,0.026057726953659266,0.026176738032790775,0.06625211252680499,0.08145025291645296,0.3424657534246575,145,True,0.9026418786692759,False,False
21,CPUI,149,6.345987175415679e-06,0.011026989853583613,0.034474994826054824,0.04130385705731267,0.9863013698630136,145,True,0.9863013698630136,False,False
21,agg_entropy,151,0.0022059965039377127,0.03667805185702425,0.10005559128414034,0.11777608917351187,0.815068493150685,145,True,0.9026418786692759,False,False
21,agg_flow,150,0.0008537274813071871,0.006947059154766371,0.019801090156568946,0.027214951136143042,0.726027397260274,145,True,0.9026418786692759,False,False
21,disp_flow,149,0.003828320821394171,0.005040890710483252,0.011289273249640927,0.017029357246464493,0.3972602739726027,145,True,0.9026418786692759,False,False
21,entropy+flow,150,0.008183986586102088,0.04398199351452749,0.10555104941340501,0.12841946822609313,0.7602739726027398,145,True,0.9026418786692759,False,False
