min_days,contracts,window,horizon,n,delta_r2,t
100,4,2025-12-10..2026-08-14,5,161,0.004910518767386907,0.5302122818185798
100,4,2025-12-10..2026-08-14,10,161,0.022859067424262802,1.1351761232895634
100,4,2025-12-10..2026-08-14,21,151,0.0022059965039377127,0.2434609646561086
120,4,2025-12-10..2026-08-14,5,161,0.004910518767386907,0.5302122818185798
120,4,2025-12-10..2026-08-14,10,161,0.022859067424262802,1.1351761232895634
120,4,2025-12-10..2026-08-14,21,151,0.0022059965039377127,0.2434609646561086
150,4,2025-12-10..2026-08-14,5,161,0.004910518767386907,0.5302122818185798
150,4,2025-12-10..2026-08-14,10,161,0.022859067424262802,1.1351761232895634
150,4,2025-12-10..2026-08-14,21,151,0.0022059965039377127,0.2434609646561086
180,3,2025-11-05..2026-08-14,5,185,0.019804020707633874,-1.3261334782029173
180,3,2025-11-05..2026-08-14,10,185,0.001150372559059365,0.27248394939722825
180,3,2025-11-05..2026-08-14,21,175,0.01212928535869029,-0.8642499442852289
