horizon,signal,n,delta_r2_no_trend,delta_r2_with_trend,share_explained_by_trend,t_no_trend,t_with_trend
5,CPUI,159,0.016102276241793945,0.00015274087290229055,0.9905143303587199,1.2807768694386314,0.17950449570011337
5,agg_entropy,161,0.0886115172867945,0.004910518767386907,0.9445837412816911,1.788617591164214,0.5302122818185798
5,agg_flow,160,0.0033726081530572882,0.0005941883752084154,0.8238193266923759,1.055792904372007,0.47426568022160154
5,disp_flow,159,0.0012818186407379528,0.0010170667540833067,0.2065439511023388,-0.6843542728100575,-0.5616952086644134
10,CPUI,159,0.030736726949430415,0.0019411428176933088,0.9368461443247691,1.6969946436785384,0.7615401712001135
10,agg_entropy,161,0.15087420118292982,0.022859067424262802,0.8484892231737687,2.100933281041583,1.1351761232895634
10,agg_flow,160,0.006273538976972026,0.0016313458819379179,0.7399640158567564,1.3964123705845537,0.8157446332796254
10,disp_flow,159,0.0012620167715855501,0.0009596068775259425,0.23962430679876878,-0.5647337206674272,-0.46985907876197436
21,CPUI,149,0.03816109066573092,6.345987175415679e-06,0.9998337052986509,1.8747848168520918,0.035926449810407664
21,agg_entropy,151,0.19278904914909134,0.0022059965039377127,0.9885574594943319,3.2124483066448617,0.2434609646561086
21,agg_flow,150,0.007811610815321779,0.0008537274813071871,0.8907104435319951,0.881725647494216,0.3748816780747678
21,disp_flow,149,0.004101574437061162,0.003828320821394171,0.06662164002143067,-0.9552411099188608,-0.7272895214716208
