signal_set,signal_lag_months,implementable,n_forecasts,oos_r2,dm_t
EMV overall,0,False,270,0.07681566848092591,1.8511651181897184
EMV overall,1,True,270,0.00038651132476597017,0.015610860256089182
EMV monetary,0,False,270,0.07538157568415482,2.741780876193878
EMV monetary,1,True,270,-0.005901744003498077,-0.45032936302243015
EMV trade,0,False,270,-0.009046277245687406,-0.3470987863220488
EMV trade,1,True,270,-0.011612009935942247,-0.8427109791804739
EMV policy pair,0,False,270,0.06289768899208881,2.1280677008346487
EMV policy pair,1,True,270,-0.023705767876764483,-1.3237798998172847
EPU headline,0,False,270,0.024600229070200763,0.9726971266520557
EPU headline,1,True,270,-0.004907445725694348,-0.45760579036481214
EPU categorical,0,False,269,-0.005865822590817027,-0.33354270142085846
EPU categorical,1,True,270,-0.022085554502792926,-2.706825558811105
