target,target_label,target_kind,signal_set,n,delta_r2,placebo_mean_delta_r2,detectable_floor,placebo_q95_delta_r2,placebo_p,n_shifts,exact_null,placebo_p_fdr,survives_raw_10pct,survives_fdr_10pct
fwd_abs_ret,next month |return|,forward,EMV overall,390,0.059593863738257924,0.0032889779638097453,0.00826160149719524,0.011954102784076442,0.0028328611898017,352,True,0.01019830028328612,True,True
fwd_abs_ret,next month |return|,forward,EMV monetary,390,0.057775800203121674,0.003126401286415513,0.009091975558699082,0.012362006570545597,0.0028328611898017,352,True,0.01019830028328612,True,True
fwd_abs_ret,next month |return|,forward,EMV trade,390,0.002234527844130585,0.0026375905631217593,0.007144049929876842,0.010170166498664547,0.3597733711048159,352,True,0.4317280453257791,False,False
fwd_abs_ret,next month |return|,forward,EMV policy pair,390,0.05782870435107956,0.006229303290064003,0.015651840858359235,0.01983393573875655,0.0028328611898017,352,True,0.01019830028328612,True,True
fwd_abs_ret,next month |return|,forward,EPU headline,390,0.02100861242327201,0.0027830960990856642,0.008061917804214827,0.009728462868602128,0.0028328611898017,352,True,0.01019830028328612,True,True
fwd_abs_ret,next month |return|,forward,EPU categorical,389,0.012253075281305259,0.009493988337212636,0.01922160931344641,0.023356633173244712,0.30113636363636365,351,True,0.4317280453257791,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EMV overall,379,0.06194260620984959,0.021962511521777663,0.06517273817605758,0.07506131593367618,0.11918604651162791,343,True,0.30647840531561465,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EMV monetary,379,0.04213791131834921,0.014740796990557475,0.05071366552860428,0.0616676193546191,0.13953488372093023,343,True,0.313953488372093,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EMV trade,379,0.01570715272507739,0.018305839637745413,0.05207566806456637,0.07015522499448827,0.34593023255813954,343,True,0.4317280453257791,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EMV policy pair,379,0.04788911207300883,0.034897541937695634,0.08212363020210527,0.10368773491922201,0.311046511627907,343,True,0.4317280453257791,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EPU headline,379,0.00017720943542987033,0.02594104003964528,0.06108540715365845,0.0765122723837214,0.9622093023255814,343,True,0.9622093023255816,False,False
log_fwd_rv12,realised vol over next 12m (log),forward,EPU categorical,379,0.022121486458477557,0.058751905516490885,0.11378054546940128,0.12493934321157538,0.8343023255813954,343,True,0.8833789329685363,False,False
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV overall,390,0.1110112607016962,0.024231791088839206,0.06393158131277786,0.08232019149249085,0.0028328611898017,352,True,0.01019830028328612,True,True
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV monetary,390,0.031998230830511565,0.01924225247457452,0.05177100625187639,0.06554896694387145,0.22662889518413598,352,True,0.40793201133144474,False,False
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV trade,390,0.0034213007788963523,0.017548655500458293,0.06371911816742469,0.10259700924112537,0.5354107648725213,352,True,0.6023371104815864,False,False
log_rv12,trailing 12m realised vol (log),contemporaneous,EMV policy pair,390,0.041603336071002195,0.04211152271480922,0.11754876303779196,0.14444379290150294,0.33994334277620397,352,True,0.4317280453257791,False,False
log_rv12,trailing 12m realised vol (log),contemporaneous,EPU headline,390,0.08534566288371703,0.024694707627939048,0.05691402306062561,0.07752987590919957,0.042492917847025496,352,True,0.1274787535410765,True,False
log_rv12,trailing 12m realised vol (log),contemporaneous,EPU categorical,389,0.11914233743433511,0.06527476172146714,0.14151133128994298,0.1651681926020661,0.16761363636363635,351,True,0.3352272727272727,False,False
