target,signal_set,k_terms,n_long_sample,delta_r2_long,partial_r2,power_at_long_n,power_at_release3_n,n_needed_for_80pct_power,power_at_release3_n_eff,power_at_release3_n_fdr
log_rv12,EPU categorical,3,389,0.11914233743433511,0.142420634601379,0.9999999675728447,0.9944881659901499,70.0,0.793653299507248,0.957110628727302
log_rv12,EMV overall,1,390,0.1110112607016962,0.13264868664916657,0.9999999953692585,0.9983593108231409,60.0,0.8922532493227158,0.9819572961607519
log_rv12,EPU headline,1,390,0.08534566288371703,0.10198055603700217,0.9999985544598743,0.9881664329624874,80.0,0.7870935246017384,0.9225972051914392
log_fwd_rv12,EMV overall,1,379,0.06194260620984959,0.07310495916303258,0.9997614652321675,0.940498538046641,110.0,0.6320245120999977,0.7653944726429354
fwd_abs_ret,EMV overall,1,390,0.059593863738257924,0.0646193843137252,0.9993538255834715,0.9088023527161132,120.0,0.5753528686786729,0.6913396205693219
fwd_abs_ret,EMV policy pair,2,390,0.05782870435107956,0.06270536992264567,0.9972895835030848,0.8322391008986804,150.0,0.45137262161463176,0.5562592803973159
fwd_abs_ret,EMV monetary,1,390,0.057775800203121674,0.06264800439448162,0.9991340279219363,0.8996185733096417,120.0,0.5614935761658433,0.672187561067074
log_fwd_rv12,EMV policy pair,2,379,0.04788911207300883,0.056518958382066144,0.9927439523085054,0.7867198204573028,170.0,0.409759976507887,0.4895569867356202
log_fwd_rv12,EMV monetary,1,379,0.04213791131834921,0.04973136383230794,0.9934708690232019,0.8176695436803368,160.0,0.4647310736918976,0.5300833127675961
log_rv12,EMV policy pair,2,390,0.041603336071002195,0.04971232517457588,0.9861817380931842,0.7263737473201171,190.0,0.3632746158323711,0.413253970329295
log_rv12,EMV monetary,1,390,0.031998230830511565,0.03823506973918525,0.9754542008766924,0.7048536442730404,200.0,0.37125340882866054,0.3857959401552282
log_fwd_rv12,EPU categorical,3,379,0.022121486458477557,0.02610788378347936,0.7635477960145296,0.37134278179770874,420.0,0.17127884035160024,0.12437393551619713
fwd_abs_ret,EPU headline,1,390,0.02100861242327201,0.022780258149397187,0.8526123862195488,0.48137889693588354,340.0,0.2392097527535697,0.19165803483460286
log_fwd_rv12,EMV trade,1,379,0.01570715272507739,0.018537656530695185,0.7607440723228498,0.4061027942424983,420.0,0.20267845384472616,0.1442006627915693
fwd_abs_ret,EPU categorical,3,389,0.012253075281305259,0.013284127457416245,0.4551595442166627,0.19917690396388343,820.0,0.10653796570852814,0.04660446139746466
log_rv12,EMV trade,1,390,0.0034213007788963523,0.004088153328623872,0.24327667082112425,0.12647363758017482,1920.0,0.08201932854479221,0.024305385673889845
fwd_abs_ret,EMV trade,1,390,0.002234527844130585,0.0024229644540885256,0.16299214309137122,0.09470611397185535,3240.0,0.0688205533968107,0.01576974676776388
log_fwd_rv12,EPU headline,1,379,0.00017720943542987033,0.00020914342054830672,0.05908386023338896,0.053771033726195516,,0.05160525517999959,0.006333025539005499
