signal_set,signal_lag_months,implementable,n,delta_r2,t,placebo_p,share_of_lag0_retained
EMV overall,0,False,390,0.059593863738257924,4.265775588697583,0.0028328611898017,1.0
EMV overall,1,True,390,0.01826552074013099,2.6307110953945063,0.014164305949008499,0.30650002524345366
EMV overall,2,True,390,0.005524281117301744,1.4907563307746667,,0.09269882452268788
EMV overall,3,True,390,0.004021506516412199,1.1522472639295271,,0.06748188931120574
EMV monetary,0,False,390,0.057775800203121674,4.915492330634403,0.0028328611898017,1.0
EMV monetary,1,True,390,0.0072940013378739454,1.6110656618053398,0.1359773371104816,0.12624665192399784
EMV monetary,2,True,390,0.0028025624317976616,1.307517490885003,,0.048507548522819716
EMV monetary,3,True,390,0.004471058762236746,1.259937884839511,,0.07738635806891292
EMV trade,0,False,390,0.002234527844130585,1.060615317575213,0.3597733711048159,1.0
EMV trade,1,True,390,0.00026009557602224564,0.3561517317222645,0.7563739376770539,0.11639844932137966
EMV trade,2,True,390,0.002116476808545209,0.9046994027023314,,0.9471695839926723
EMV trade,3,True,390,0.00014785878022205434,0.2391541051276027,,0.06617003256881929
EMV policy pair,0,False,390,0.05782870435107956,4.816504385278361,0.0028328611898017,1.0
EMV policy pair,1,True,390,0.007300126822707309,1.5756460841116307,0.29745042492917845,0.12623708078237497
EMV policy pair,2,True,390,0.004063913574575029,1.0281129961905995,,0.07027502379964981
EMV policy pair,3,True,390,0.004472702468110712,1.1878026641985193,,0.07734398545325898
EPU headline,0,False,390,0.02100861242327201,3.1244154471432815,0.0028328611898017,1.0
EPU headline,1,True,390,0.0012284092817844705,0.7910585612347075,0.5269121813031161,0.05847169994072129
EPU headline,2,True,390,0.00022132458550649936,-0.35701809978253835,,0.01053494543320386
EPU headline,3,True,390,8.254515162620102e-06,-0.06426699271306914,,0.00039291101174660506
EPU categorical,0,False,389,0.012253075281305259,2.2640040948350872,0.30113636363636365,1.0
EPU categorical,1,True,390,3.177930118580807e-05,0.10400825547479156,0.9971671388101983,0.002593577567771442
EPU categorical,2,True,390,0.0008640125734293846,-0.1776949525926696,,0.07051393659089196
EPU categorical,3,True,390,0.004463313298086136,-0.517911851996185,,0.3642606607417074
